ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
1210,3-105-135/48ฉช,บริษัท ไทย เมทัล รีไซด์ลิ้ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พศ.ศ2541) และอัดเศษโลหะทุกชนิด,เลขที่ ,1, -,บางนา-ตราด กม.35,หอมศีล,บางปะกง,ฉะเชิงเทรา,24180,,70000000,50,1231
1211,3-105-140/48ฉช,บริษัท คอมแพ็ค รีไซเคิลกรุ๊ป จำกัด,"คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ, อัดกระดาษ, หลอมเม็ดพลาสติก และบดพลาสติก",เลขที่ ,6,ซันโย,สุวินทวงค์,คลองอุดมชลจร,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,24000,,6000000,12,111
1212,3-105-143/48ฉช,บริษัท เค.เอส.ดี รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541)  อัดเศษโลหะ กระดาษ  และพลาสติก,เลขที่ 83,7, -, -,หนองแหน,พนมสารคาม,ฉะเชิงเทรา,24120,,7500000,7,85
1213,3-105-16/56ฉช,บริษัท พาเพิ่มทรัพย์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 22,1,-,-,เขาหินซ้อน,พนมสารคาม,ฉะเชิงเทรา,24120,,6000000,9,133
1214,3-105-162/48ฉช,บริษัท ที.ซี.พี สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีส่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ พลาสติก กระดาษและบดย่อยพลาสติก,เลขที่ 99/9,9, -,สายเลี่ยงเมืองพนมสารคาม (304),เกาะขนุน,พนมสารคาม,ฉะเชิงเทรา,24120,,1500000,7,60
1215,3-105-17/56ฉช,บริษัท พี เอ เอส รีไซเคิล อินเตอร์เทรดดิ้ง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก กระดาษ ไม้ เป็นต้น,เลขที่ 61/2,2,,,หนองบัว,บ้านโพธิ์,ฉะเชิงเทรา,24140,,3150000,20,129
1216,3-105-172/48ฉช,บริษัท เฟิสท์ แบงคอก อิมปอร์ต แอนด์ เอ็กซ์ปอร์ต จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม  ฉบับที่ 1 (พ.ศ.2541),เลขที่ 2,1,อ้อมฉบัง,พิมพา-แสนภูดาษ,พิมพา,บางปะกง,ฉะเชิงเทรา,24180,,3000000,10,75
1217,3-105-188/50ฉช,บริษัท เอเซีย รีไซเคิลเทคโนโลยี จำกัด,คัดแยกและฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ ,9,,,เขาหินซ้อน,พนมสารคาม,ฉะเชิงเทรา,24120,,33000000,25,610
1218,3-105-19/59ฉช,ก้าวมั่นคง รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 60/5,17,-,-,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,24000,,4000000,20,128
1219,3-105-2/46ฉช,บริษัท กรีน โซลูชั่น จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดในภาคผนวก 1 หมวด 1 ข้อ 1         ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541),เลขที่ 89/3,3,-,-,สิบเอ็ดศอก,บ้านโพธิ์,ฉะเชิงเทรา,24140,,3050000,45,8.39
1220,3-105-20/57ฉช,บริษัท ไทรเด้นท์ สตีล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และบดย่อยพลาสติก,เลขที่ 8/1,4,,,ศาลาแดง,บางน้ำเปรี้ยว,ฉะเชิงเทรา,24000,,1900000,7,15
1221,3-105-21/49ฉช,ห้างหุ้นส่วนจำกัด นพเกตุ วิศวกรรม,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษกระดาษ เศษพลาติก เศษไม้ เศษโลหะ เศษยาง เศษแก้ว และเศษผ้า บดย่อยพลาสติกที่ไม่ใช้แล้วเป็นเม็ดพลาสติกเกรดบีและนำน้ำมันที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสที่กำหนดให้หมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 พ.ศ.2541) บดย่อยพลาสติกที่ไม่ใช่แล้วเป็นเม็ดพลาสติกเกรดบี นำน้ำมันใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อนำกลับมาใช้เป็นเชื้อเพลิงทดแทน โดยกระบวนการกรองเท่านั้น,เลขที่ 105/1,9, -,ทางหลวงสาย 331,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,24190,,6000000,7,42
1222,3-105-21/56ฉช,ห้างหุ้นส่วนจำกัด ถังรุ่งเรือง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ โฉนดที่ดินเลขที่ 11528,0,-,-,เกาะขนุน,พนมสารคาม,ฉะเชิงเทรา,24120,,20000000,3,195
1223,3-105-22/56ฉช,บริษัท โอเค รีไซร์เคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายทุกชนิด,เลขที่ 88/83,7,-,สาย 331,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,24190,,12000000,9,40
1224,3-105-25/57ฉช,ห้างหุ้นส่วนจำกัด เอส บี รีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติกและทำเม็ดพลาสติกเกรดบี,เลขที่ 39/5,3,,,เขาดิน,บางปะกง,ฉะเชิงเทรา,24130,,7000000,9,495.08
1225,3-105-27/57ฉช,นายสมยศ พักตร์ฉวี,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและประกอบกิจการกระบวนการต่อเนื่อง ล้าง บด หรือย่อยพลาสติกและทำเม็ดพลาสติกเกรดบี,เลขที่ 102/4,5,-,-,เขาหินซ้อน,พนมสารคาม,ฉะเชิงเทรา,24120,,20000000,49,291
1226,3-105-29/59ฉช,บริษัท วงษ์พาณิชย์ (สาขาเวลโกรว์) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 109,1,-,-,หอมศีล,บางปะกง,ฉะเชิงเทรา,24180,0 3898 9599-02,72000000,15,715.04
1227,3-105-30/56ฉช,บริษัท อี้ ฮุย (ประเทศไทย) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/8,11,-,-,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,24190,,5000000,7,80
1228,3-105-30/57ฉช,บริษัท ก.สยามพลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ล้างบดย่อยพลาสติกและทำเม็ดพลาสติก,เลขที่ 30,20,-,สุวินทวงศ์,ศาลาแดง,บางน้ำเปรี้ยว,ฉะเชิงเทรา,24000,,1100000,12,159.62
1229,3-105-34/57ฉช,บริษัท ศรีบล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เศษโลหะ เศษกระดาษ เศษไม้ และเศษพลาสติก อัดเศษโลหะ,เลขที่ 51/4,1,-,ฉะเชิงเทรา-บางปะกง,คลองประเวศ,บ้านโพธิ์,ฉะเชิงเทรา,24140,,37000000,7,58
1230,3-105-35/53ฉช,บริษัท สุวรรณภูมิเวสท์ แมเนจเม้นท์ 2010 จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,เลขที่ 39,3,-,-,พิมพา,บางปะกง,ฉะเชิงเทรา,24180,038 570542,0,7,110
1231,3-105-35/56ฉช,บริษัท ไทยเกรทสตีล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 168,7,-,ทางหลวง 304 กม.19,หนองแหน,พนมสารคาม,ฉะเชิงเทรา,24120,,55000000,50,691.5
1232,3-105-35/57ฉช,บริษัท ซันโคะ คินโซคุ (ประเทศไทย) จำกัด,คักแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่เป็นของเสียอันตราย ได้แก่ เศษทองคำ เศษทองแดง เศษนิกเกิล เศษทองเหลือง เศษสายไฟ เศษพลาสติก เศษโลหะและโลหะผสม,เลขที่ 105/10 อาคาร เอ ,3,-,บางนา-ตราด กม.52,ท่าข้าม,บางปะกง,ฉะเชิงเทรา,24130,,5000000,6,1.5
1233,3-105-36/59ฉช,บริษัท เอดีสแคปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 29136,17,-,สุวินทวงศ์,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,24000,,16000000,3,230
1234,3-105-37/48ฉช,ห้างหุ้นส่วนจำกัด เจ็ต สปีด รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ใน หมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น  เศษกระดาษ พลาสติก ไม้ ถังเหล็ก,เลขที่ ,2,,ฉะเชิงเทรา-พนัสนิคม,ดอนทราย,บ้านโพธิ์,ฉะเชิงเทรา,24140,,3450000,23,15
1235,3-105-38/58ฉช,บริษัท เจ.พี.เอส.เมทัลกรุ๊ป อินเตอร์เนชั่นแนล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 99/96,9,-,-,เกาะขนุน,พนมสารคาม,ฉะเชิงเทรา,74110,,56861625,20,212
1236,3-105-40/47ฉช,บริษัท ศูนย์กำจัดของเสียไทย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541) และบดย่อยเศษพลาสติก,เลขที่ 95,6,-,-,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,24190,,1500000,20,60
1237,3-105-41/47ฉช,บริษัท ซัคเซส เอ็นไวรอนเม้นท์ เมเนจเม้นท์ (เซ็ม) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยเศษพลาสติก,เลขที่ ,10,-,-,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,24190,,1500000,20,60
1238,3-105-41/49ฉช,นายวิสูตร ตรีรัตนนุกูล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย  เฉพาะเศษโลหะ  เศษกระดาษ  เศษพลาสติก  อัดเศษโลหะ  อัดเศษกระดาษ  และบดย่อยพลาสติก,เลขที่ 393/2,14, -,สายเลี่ยงเมืองพนมสารคาม,เกาะขนุน,พนมสารคาม,ฉะเชิงเทรา,24120,,1000000,7,60
1239,3-105-44/54ฉช,ห้างหุ้นส่วนจำกัด พรรัตน์รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ทำเม็ดพลาสติกจากพลาสติกใช้แล้ว บดย่อยเศษพลาสติก,เลขที่ 27/5,15,-,-,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,24000,,2000000,3,155
1240,3-105-45/59ฉช,เนเจอร์ รีไฟน์นิ่งเทค ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 70/2,7,-,สุวินทวงศ์,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,10530,,7000000,7,148
1241,3-105-50/59ฉช,บริษัท ผลปภัสร์ กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 216/1,5,-,-,เกาะขนุน,พนมสารคาม,ฉะเชิงเทรา,24120,,21200000,27,120.5
1242,3-105-55/54ฉช,บริษัท เคไอ รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 20/9,21,-,-,ศาลาแดง,บางน้ำเปรี้ยว,ฉะเชิงเทรา,24000,02 4375186,3050000,20,37
1243,3-105-56/48ฉช,บริษัท เอส.พี.เจ.รีไซเคิล จำกัด,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่มีลักษณะและคุณสมบัติตามที่กำหนดไว้ในกฎกระทรวง ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,เลขที่ 32/3,4,-,-,สิบเอ็ดศอก,บ้านโพธิ์,ฉะเชิงเทรา,24140,,1400000,7,40
1244,3-105-58/54ฉช,บริษัท วงษ์พาณิชย์ (สาขาเวลโกรว์) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แเล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 94,1,,บางนา-ตราด,หอมศีล,บางปะกง,ฉะเชิงเทรา,24180,,52000000,30,362
1245,3-105-59/49ฉช,บริษัท โปรเจท เวสท์ เมเน็จเม้นท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และบดย่อยพลาสติก,เลขที่ 42/3,2, -,สุวินทวงค์,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,12150,081-9835109,920000,7,45
1246,3-105-60/48ฉช,บริษัท ป.รวมเศษ 304 จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามประกาศกระทรวงอุตสาหกรรม  ฉบับที่ 1 (พ.ศ.2541)  และบดย่อยพลาสติก,เลขที่ 165/2,2,-,-,เขาหินซ้อน,พนมสารคาม,ฉะเชิงเทรา,24120,,400000,7,55
1247,3-105-60/59ฉช,บริษัท เทพรุ่งโรจน์ อินดัสทรี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 259/1,6,-,-,เขาหินซ้อน,พนมสารคาม,ฉะเชิงเทรา,24120,,50000000,26,175
1248,3-105-67/47ฉช,บริษัท เวสท์รีไซเคิล แอนด์ แมนเนจเม็นท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ,เลขที่ 39/2,3,-,-,พิมพา,บางปะกง,ฉะเชิงเทรา,24180,,39000000,14,351
1249,3-105-67/59ฉช,นายอมร  จิรกาลกุล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 6/7,5,-,-,เสม็ดเหนือ,บางคล้า,ฉะเชิงเทรา,10220,,41000000,20,204
1250,3-105-69/49ฉช,ห้างหุ้นส่วนจำกัด ถังรุ่งเรือง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย  ซ่อมและล้างถังหรือภาชนะบรรจุ  เช่น  ถังเหล็ก  ถังพลาสติก,เลขที่ 699/19,1, -,ทางหลวงแผ่นดินหมายเลข 304,พนมสารคาม,พนมสารคาม,ฉะเชิงเทรา,24120,,3000000,5,11
1251,3-105-70/47ฉช,นายมนัส อิทธิพร,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย  ได้ปีละ 1,000 ตัน",เลขที่ 21/10,9,-,-,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,24190,,450000,10,0
1252,3-105-76/53ฉช,บริษัท เบเรนิช รีไซคลิ่ง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 50,5,-,-,เขาดิน,บางปะกง,ฉะเชิงเทรา,24130,086 5063393,750000,10,19
1253,3-105-77/49ฉช,ห้างหุ้นส่วนจำกัด นัฐวุฒิ พาณิชย์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายจากโรงงาน เช่น เศษกระดาษ  เศษพลาสติก  เศษโลหะ,เลขที่ ,9, -, -,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,24190,,5000000,7,35.36
1254,3-105-8/59ฉช,เฮงคูณทรัพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและอัดเศษโลหะ,เลขที่ โฉนดที่ดินเลขที่ 9676,8,-,บางนา-ตราด,ท่าข้าม,บางปะกง,ฉะเชิงเทรา,10540,,4500000,10,122
1255,3-105-80/54ฉช,บริษัท บางเตย รีไซคลิ่ง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและบดย่อยพลาสติก,เลขที่ 40/2,5,-,-,บางเตย,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,24000,,12400000,21,73
1256,3-105-82/47ฉช,บริษัท กำจัดของเสียไทย จำกัด,ฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ตามประกาศฯ อก. ฉบับที่ 1 (พ.ศ. 2541),"เลขที่ โฉนดที่ดิน 24000, 24002-6",12,-,พนมสารคาม-สัตหีบ,หนองแหน,พนมสารคาม,ฉะเชิงเทรา,24120,-,8000000,10,305
1257,3-105-88/47ฉช,บริษัท เอสพรีโอ้ เอ้าท์ซอร์สซิ่ง เซอร์วิส จำกัด,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย ได้ปีละ 5,000 ตัน",เลขที่ 627,2,-,-,เกาะขนุน,พนมสารคาม,ฉะเชิงเทรา,24120,,3050000,25,6.76
1258,3-105-9/48ฉช,ฉะเชิงเทรา ค้าของเก่า,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 95/2,10,-,-,วังเย็น,แปลงยาว,ฉะเชิงเทรา,24190,,2500000,3,45
1259,3-105-95/48ฉช,บริษัท อารีรีไซเคิล อินเตอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และอัดเศษโลหะ และพลาสติก,เลขที่ 35,11, -,สุวินทวงศ์,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,24000,,1200000,7,50
1260,3-106-1/45ฉช,บริษัท สุวรรณมงคลออยล์ จำกัด,ผลิตจารบีจากน้ำมันเครื่องใช้แล้ว,เลขที่ 4,5,-,-,วังเย็น,แปลงยาว,ฉะเชิงเทรา,24190,038-589172,200000,5,99.75
1261,3-106-10/50ฉช,บริษัท ฟิวชั่น ดีเวลลอปเมนท์ จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว มาผ่านกรรมวิธีทางอุตสาหกรรม เพื่อผสมเป็นเชื้อเพลิงทดแทน แยกสกัดโลหะมีค่าจากสารละลายที่ใช้แล้ว,เลขที่ 88,14, -, -,หนองแหน,พนมสารคาม,ฉะเชิงเทรา,24120,,18280000,9,257.84
1262,3-106-10/59ฉช,บริษัท ฟู่อี้ อีเล็คทรอนิคส์ แอนด์ พลาสติก รีไซเคิล จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิคส์ และหล่อหลอมโลหะทั่วไป เช่น เศษทองแดง เศษทองเหลือ และขี้ตะกรันทองแดง,"เลขที่ โฉนดที่ดินเลขที่ 2227,2228",12,-,-,แปลงยาว,แปลงยาว,ฉะเชิงเทรา,24130,,16000000,10,497
1263,3-106-11/50ฉช,ห้างหุ้นส่วนจำกัด เจ็ต สปีด รีไซเคิล,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นและตัวทำลายที่ใช้แล้ว ซ่อมและล้างบรรจุภัณฑ์โลหะและพลาสติก,เลขที่ 66/9,2, -,ฉะเชิงเทรา-พนัสนิคม,ดอนทราย,บ้านโพธิ์,ฉะเชิงเทรา,24140,,3300000,10,85
1264,3-106-13/50ฉช,บริษัท เค.เอส.ดี รีไซเคิล จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว  ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย,เลขที่ 83,7,-,-,หนองแหน,พนมสารคาม,ฉะเชิงเทรา,24120,,4000000,7,45
1265,3-106-14/50ฉช,บริษัท ท๊อป เท็น เอ็นไวรอนเมนท์ จำกัด,ทำเชื้อเพลิงผสมจากวัสดุดูดซับน้ำมันหรือตัวทำละลาย น้ำมันหล่อเย็น บดย่อยพลาสติกและชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์ เก็บรวบรวมแบตเตอรี่ โดยไม่มีการแปรสภาพ รีไซเคิลหลอดไฟฟลูออเรสเซนต์ ทำอิฐประสานจากทรายหล่อแบบ ผลิตปุ๋ยชีวภาพ อบลดความชื้นกากตะกอนจากอุตสาหกรรมชุบโลหะและอิเล็กทรอนิกส์ที่มีโลหะมีค่า,เลขที่ 222,8,-,แปลงยาว-โปร่งนกเห้า,แปลงยาว,แปลงยาว,ฉะเชิงเทรา,24190,,18500000,3,285
1266,3-106-15/56ฉช,บริษัท เอเซีย รีไซเคิล เทคโนโลยี จำกัด,นำน้ำมันและตัวทำละลายใช้แล้วมาผ่านกระบวนการทางอุตสาหกรรมเพื่อนำกลับมาใช้ใหม่และทำเชื้อเพลิงทดแทน ซ่อมและล้างถังบรรจุภัณฑ์ด้วยตัวทำละลายนำสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วทั้งในสภาพของแข็งและของเหลวมาผลิตเชื้อเพลิงผสม(Blending),เลขที่ 99/9,9,,บ้านกลางดง,เขาหินซ้อน,พนมสารคาม,ฉะเชิงเทรา,24120,,5850000,20,32
1267,3-106-20/50ฉช,ห้างหุ้นส่วนจำกัด บางปะกงรีไซเคิล,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว  และตัวทำละลายที่ใช้แล้ว  หลอมหล่อโลหะจากเศษและตะกรันโลหะ,เลขที่ 60/3,17, -,สุวินทวงศ์,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,24000,,2500000,8,55.4
1268,3-106-21/49ฉช,บริษัท กรีนไทร์ จำกัด,"นำยางที่ใช้แล้ว  เช่น  ยางรถยนต์  ยางรถจักรยานยนต์  รถที่ใช้ในการเกษตรกรรม  ยางเรียกกลับคืนการก่อสร้างเครื่องจักรกล  มาผ่านกรรมวิธีการทางอุตสาหกรรม  เพื่อนำไปใช้ประโยชน์ใหม่  เช่น  ยางปูพื้น, ผงยาง  เหล็กลวดและน้ำมันเผา",เลขที่ 64,12, -, -,แปลงยาว,แปลงยาว,ฉะเชิงเทรา,24190,038-502048,50000000,80,410
1269,3-106-22/53ฉช,นางสาวปราณีต สดิน,ผลิตน้ำมันเชื้อเพลิงจากยางรถยนต์ที่ใช้แล้ว,เลขที่ 99/9,8,-,-,สองคลอง,บางปะกง,ฉะเชิงเทรา,24130,,5200000,5,185.88
1270,3-106-23/56ฉช,บริษัท เอ็น บี อี คอมพิวเตอร์ จำกัด,ทำผลิตภัณฑ์ยางจากยางที่ไม่ใช้แล้ว โดยกรรมวิธีการผลิตบดและรีดยาง ,เลขที่ 21/3,16,-,สุวินทวงศ์,บางน้ำเปรี้ยว,บางน้ำเปรี้ยว,ฉะเชิงเทรา,24150,,4000000,15,1195
1271,3-106-24/59ฉช,บริษัท กรีนพลัสออร์แกนิค จำกัด,ผลิตปุ๋ยอินทรีย์ ปุ๋ยชีวภาพ นำกากตะกอนชีวภาพ (Biological Sludge) จากอุตสาหกรรมอาหาร เกษตรแปรรูป และกระดาษผ่านกรรมวิธีการหมักหรือผสมเป็นส่วนประกอบของเคมีภัณฑ์ทางการเกษตรเพื่อทำปุ๋ย,"เลขที่ โฉนดที่ดินเลขที่ 10703,10704,10705",11,-,สาย 331,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,21120,08 1358 7682,20500000,13,515
