orgth,orgen,telephone,address,website,healtharea,agency,province,district,area,npsts,pooledsaliva,pooledswab
เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ คลินิกเทคนิคการแพทย์สาขานครศรีธรรมราช,"National Healthcare Systems Co.,Ltd, Nakhon Si Thammarat Branch",0-2762-4000,89/14 ถ.ราชดำเนิน ต.ในเมือง อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,https://www.nhealth-asia.com/,เขต 11,เอกชน,นครศรีธรรมราช,เมืองนครศรีธรรมราช,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
เซาเทิร์นแล็บ คลินิกเทคนิคการแพทย์,Southern Medical Technology Clinic,084-6448844,59/1 หมู่ 11 ช้างขวา กาญจนดิษฐ์ สุราษฎร์ธานี 84160,https://web.facebook.com/%E0%B9%80%E0%B8%8B%E0%B8%B2%E0%B9%80%E0%B8%97%E0%B8%B4%E0%B8%A3%E0%B9%8C%E0%B8%99%E0%B9%81%E0%B8%A5%E0%B9%87%E0%B8%9A%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%97%E0%B8%84%E0%B8%99%E0%B8%B4%E0%B8%84,เขต 11,เอกชน,สุราษฎร์ธานี,กาญจนดิษฐ์,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลบ้านนาสาร,Bannasan Hospital,0-7734-1415,83/4 ถนนคลองหา ตำบลนาสาร อำเภอบ้านนาสาร จังหวัดสุราษฎร์ธานี 84120,http://www.bannasanhospital.org/home,เขต 11,ภาครัฐ,สุราษฎร์ธานี,บ้านนาสาร,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลท่าศาลา,Thasala Hospital,0-7552-1333,158 หมู่3 ตำบลท่าศาลา อำเภอท่าศาลา จังหวัดนครศรีธรรมราช 80160,http://www.thasalahos.org/homeindex/,เขต 11,ภาครัฐ,นครศรีธรรมราช,ท่าศาลา,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
ศูนย์บริการเทคนิคการแพทย์ คณะเทคนิคการแพทย์ มหาวิทยาลัยสงขลานครินทร์  วิทยาเขตภูเก็ต,"Medical Technology Service Center, Faculty of Medical Technology,  Prince of Songkla University, Phuket Campus",0-7627-6012-13,80 หมู่1 ถ.วิชิตสงคราม ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120,Medical Technology Service Center : ศูนย์บริการเทคนิคการแพทย์ ม.อ. - หน้าหลัก | Facebook,เขต 11,ภาครัฐ,ภูเก็ต,กะทู้,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลทุ่งสง,Thung Song Hospital,0-7541-0100,186 ม.7 ต.หนองหงส์ อ.ทุ่งสง จ.นครศรีธรรมราช 80110,http://www.thungsonghospital.go.th/home/,เขต 11,ภาครัฐ,นครศรีธรรมราช,ทุ่งสง,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลหลังสวน,Langsuan hospital,0-7752-9999,82 ถนนเอเชีย 41 ม.5 ต.วังตะกอ อ.หลังสวน จ.ชุมพร 86110,https://langsuanhospital.go.th/,เขต 11,ภาครัฐ,ชุมพร,หลังสวน,ต่างจังหวัด,เปิดตรวจแล้ว,,
ห้องปฏิบัติการนาบอนสหคลินิก บริษัท นาบอนอินเตอร์เมดิคอล จำกัด,Nabon Inter Medical Company Limited,093-6428241,20/23 หมู่ที่ 3 ถนนเจ้าฟ้าตะวันออก ตำบลวิชิต อำเภอเมืองภูเก็ต จังหวัดภูเก็ต 83000,www.nabornlab.com,เขต 11,เอกชน,ภูเก็ต,เมืองภูเก็ต,ต่างจังหวัด,เปิดตรวจแล้ว,,
ศูนย์วิทยาศาสตร์การแพทย์ที่ 12 สงขลา,Regional Medical Sciences Center 12 Songkla,0-7433-0211,616/1 หมู่ 2 ต.พะวง อ.เมือง จ.สงขลา 90100,http://rmsc12.dmsc.moph.go.th/web/,เขต 12,ภาครัฐ,สงขลา,เมืองสงขลา,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
ศูนย์วิทยาศาสตร์การแพทย์ที่ 12/1 ตรัง,Regional Medical Sciences Center 12/1 Trang,0-7550-1050-3,153 ม.4 ถนนตรัง-ปะเหลียน ต.บ้านควน อ.เมือง จ.ตรัง,https://rmsctrang.go.th/frontpage,เขต 12,ภาครัฐ,ตรัง,เมืองตรัง,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
สำนักงานป้องกันควบคุมโรคที่ 12 จังหวัดสงขลา,The Office of Disease Prevention and Control 12 Songkla,0-7433-6080,46 ถนนไทรงาม ตำบลบ่อยาง อำเภอเมือง จังหวัดสงขลา 90000,https://ddc.moph.go.th/odpc12/,เขต 12,ภาครัฐ,สงขลา,เมืองสงขลา,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
คณะแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์,"Faculty of Medicine, Songkla University",0-7445-1585,หน่วยภูมิคุ้มกันและไวรัสวิทยา สาขาวิชาพยาธิวิทยา คณะแพทยศาสตร์ ม.สงขลานครินทร์ เลขที่ 15 ถ.กาญจนวนิช หาดใหญ่ จ.สงขลา 90110,https://medinfo.psu.ac.th/home/,เขต 12,ภาครัฐ,สงขลา,หาดใหญ่,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลยะลา,Yala Hospital,0-7324-4711-8 ต่อ 275,152 ถนนสิโรรส ต.สะเตง อ.เมือง จ.ยะลา 95000,http://118.174.45.27/yrhweb/,เขต 12,ภาครัฐ,ยะลา,เมืองยะลา,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลสิโรรส ยะลา,Siroros Hospital Yala,"0-7322-4600-4 ต่อ 238,239",247-249 ถนนสิโรรส ต.สะเตง อ.เมือง จ.ยะลา 95000,https://www.siroroshospitalcoltd.com/,เขต 12,เอกชน,ยะลา,เมืองยะลา,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลหาดใหญ่,Hatyai Hospital,0-7427-3235,ชั้น 3 ตึกพยาธิวิทยา 182 ถ.รัถการ ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110,https://www.hatyaihospital.go.th/,เขต 12,ภาครัฐ,สงขลา,หาดใหญ่,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ คลินิกเทคนิคการแพทย์ สาขาหาดใหญ่,"National Healthcare Systems Co., Ltd., Medical Technic Clinic, HatYai Branch",0-7436-5475,อาคาร N Health แผนก BML ชั้น2 เลขที่ 69 ถ.เพชรเกษม ซ.15 ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110,https://www.nhealth-asia.com/,เขต 12,เอกชน,สงขลา,หาดใหญ่,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลนราธิวาสราชนครินทร์,Narathiwat Ratchanakharin Hospital,0-7351-0557,เลขที่ 180 ถ.ระแงะมรรคา ต.บางนาค อ.เมือง จ.นราธิวาส 96000,https://www.narahos.com/th,เขต 12,ภาครัฐ,นราธิวาส,เมืองนราธิวาส,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,
โรงพยาบาลปัตตานี,Pattani Hospital,0-7371-1010,"กลุ่มงานเทคนิคการแพทย์และพยาธิวิทยาคลินิก งานอณูชีวโมเลกุล โรงพยาบาลปัตตานี
  2 ถ.หนองจิก ต.สะบารัง อ.เมือง จ.ปัตตานี 94000",http://www.pattanihos.com/,เขต 12,ภาครัฐ,ปัตตานี,เมืองปัตตานี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลตรัง,Trang Hospital,0-7520-1500 ต่อ 1231,69 ถ.โคกขัน ต.ทับเที่ยง อ.เมือง จ.ตรัง 92000,http://www.tranghos.go.th/,เขต 12,ภาครัฐ,ตรัง,เมืองตรัง,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลสตูล,Satun Hospital,0-7472-3502-5 ต่อ 1500 หรือ 1514,งานจุลชีววิทยาคลินิก กลุ่มงานเทคนิคการแพทย์ รพ.สตูล อ.เมือง จ.สตูล 91000,https://www.facebook.com/pages/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%95%E0%B8%B9%E0%B8%A5/278934862526621,เขต 12,ภาครัฐ,สตูล,เมืองสตูล,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลพัทลุง,Phatthalung Hospital,0-7460-9500 ต่อ 5203,421 ถ.ราเมศวร์ ต.คูหาสวรรค์ อ.เมือง จ.พัทลุง 93000,http://www.ptlhosp.go.th/,เขต 12,ภาครัฐ,พัทลุง,เมืองพัทลุง,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
หน่วยกามโรคและโรคเอดส์ที่ 12.1 อำเภอหาดใหญ่,"Venereal Diseases and Aids unit 12.1, Amphoe Hatyai",0-7425-7272,หน่วยกามโรคและโรคเอดส์ที่ 12.1 อำเภอหาดใหญ่ ถ.เพชรเกษม ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา,,เขต 12,ภาครัฐ,สงขลา,หาดใหญ่,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเบตง,Betong Hospital,0-7323-4077,106 ถนนรัตนกิจ อำเภอเบตง ตำบลเบตง จังหวัดยะลา 95110,https://www.betonghospital.net/,เขต 12,ภาครัฐ,ยะลา,เบตง,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลสมเด็จพระบรมราชินีนาถ ณ อำเภอนาทวี ,Somdejpraboromrachineenart Natawee Hospital,0-7437-3080-3 ,20  ม.1 ถนนนาทวี – ประกอบ  ตำบลนาทวี  อำเภอนาทวี  จังหวัดสงขลา  รหัสไปรษณีย์ 90160,โรงพยาบาลสมเด็จพระบรมราชินีนาถ ณ อำเภอนาทวี จังหวัดสงขลา – SOMDEJPRABOROMRACHINEENART NATAWEE HOSPITAL (somdejhospital.go.th),เขต 12,ภาครัฐ,สงขลา,นาทวี,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลสงขลา,Songkhla Hospital,0-7433-8100,666 ตำบลพะวง อำเภอเมืองสงขลา สงขลา 90100,https://www.skhospital.go.th/,เขต 12,ภาครัฐ,สงขลา,เมืองสงขลา,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
พีอาร์ คลินิกเทคนิคการแพทย์ (จ.สงขลา),PR Meddical Technic Clinic (Songkhla),0-7480-7883,17/2 ถ.สะเดา ต.บ่อยาง อ.เมือง จ.สงขลา 90100,https://pt-br.facebook.com/pg/%E0%B8%9E%E0%B8%B5%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B9%8C-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%97%E0%B8%84%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0,เขต 12,เอกชน,สงขลา,เมืองสงขลา,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลศิครินทร์ หาดใหญ่,Sikarin Hatyai Hospital,0-7431-0310,169 ถ.นิพัทธ์สงเคราะห์ 1 อ.หาดใหญ่ จ.สงขลา  90110,https://www.sikarin.com/hatyai,เขต 12,เอกชน,สงขลา,หาดใหญ่,ต่างจังหวัด,เปิดตรวจแล้ว,,
ศูนย์บริการเทคนิคการแพทย์ คณะเทคนิคการแพทย์ มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตหาดใหญ่,Medical Technology Service Center,0-7428-9134,"ศูนย์บริการเทคนิคการแพทย์ คณะเทคนิคการแพทย์ มหาวิทยาลัยสงขลานครินทร์
อาคารบริหารวิชาการรวม ชั้น  4 ต.คอหงส์ อ.หาดใหญ่ จ.สงขลา 90112",http://mtsc.psu.ac.th/,เขต 12,ภาครัฐ,สงขลา,หาดใหญ่,ต่างจังหวัด,เปิดตรวจแล้ว,,
บริษัทเนชั่นแนลเฮลท์แคร์ซิสเท็มส์ สาขาโรงพยาบาลทีอาร์พีเอช,"National Healthcare Systems Co., Ltd., Medical Technic Clinic, TRPH Hospital Branch",0-7521-8988,61/39 ถนนโคกขัน ตำบลทับเที่ยง อำเภอเมืองตรัง จังหวัดตรัง 92000,https://www.trangruampat.com/story-detail.php?id=53,เขต 12,เอกชน,ตรัง,เมืองตรัง,ต่างจังหวัด,เปิดตรวจแล้ว,,
กรมวิทยาศาสตร์การแพทย์ สถาบันวิจัยวิทยาศาสตร์สาธารณสุข (แล็บอ้างอิง),"Department of Medical Sciences, National Institute of Health of Thailand (Reference Laboratory)",0-2951-0000 ต่อ 98419,สถาบันวิจัยวิทยาศาสตร์สาธารณสุข กรมวิทยาศาสตร์การแพทย์ 88/7 ซอยบำราศนราดูร ต.ตลาดขวัญ อ.เมือง จ.นนทบุรี,http://nih.dmsc.moph.go.th/,แล็บอ้างอิง,ภาครัฐ,นนทบุรี,เมืองนนทบุรี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
กรมวิทยาศาสตร์การแพทย์ กองการแพทย์จีโนมิกส์และสนับสนุนนวัตกรรม (แล็บอ้างอิง),"Department of Medical Sciences, Division of Genomic Medicine and Innovation Support (Reference Laboratory)",0-2951-0000 ต่อ 98095,88/7 ซอยบำราศนราดูร ถนนติวานนท์ ตำบลตลาดขวัญ อำเภอเมือง จังหวัดนนทบุรี 11000,http://gemis.dmsc.moph.go.th/,แล็บอ้างอิง,ภาครัฐ,นนทบุรี,เมืองนนทบุรี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
ศูนย์วิทยาศาสตร์สุขภาพโรคติดต่ออุบัติใหม่ สภากาชาดไทย (แล็บอ้างอิง),"Thai Red Cross, Emerging Infectious Diseases, Health Science Center (TRC-EID) (Reference Laboratory)",0-2256-4000,โรงพยาบาลจุฬาลงกรณ์ 1873 ถ.พระราม 4 แขวงปทุมวัน เขตปทุม กทม.,https://chulalongkornhospital.go.th/kcmh/ec/%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%A0%E0%B8%B2%E0%B8%9E-2/,แล็บอ้างอิง,ภาครัฐ,กรุงเทพมหานคร,ปทุมวัน,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
ภาควิชาจุลชีววิทยา คณะแพทยศาสตร์ศิริราชพยาบาล,"Department of Microbiology, Faculty of Medicine, Siriraj Hospital",0-2419-9760,ภาควิชาจุลชีววิทยา คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล (ตึกจุลชีววิทยา ชั้น 3) เลขที่ 2 ถนนวังหลัง แขวงศิรราช เขตบางกอกน้อย กรุงเทพฯ 10700,https://www.si.mahidol.ac.th/th/department/microbiology/microbiologyTH_index-1.asp,เขต 13,ภาครัฐ,กรุงเทพมหานคร,บางกอกน้อย,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,
คณะแพทยศาสตร์ โรงพยาบาลรามาธิบดี,"Faculty of Medicine, Ramathibodi Hospital",0-2201-1470,270 ถ.พระราม 6 แขวงพญาไท เขตราชเทวี กรุงเทพ 10400,https://med.mahidol.ac.th/,เขต 13,ภาครัฐ,กรุงเทพมหานคร,ราชเทวี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
คณะแพทยศาสตร์จุฬาลงกรณ์มหาวิทยาลัย,"Faculty of Medicine, Chulalongkorn University",0-2225-6418-3,ตึก อปร ชั้น 16 หน่วยไวรัสวิทยา ภาควิชาจุลชีววิทยา คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย 1873 ถนนพระราม 4 ปทุมวัน กรุงเทพมหานคร 10330,https://www.md.chula.ac.th/,เขต 13,ภาครัฐ,กรุงเทพมหานคร,ปทุมวัน,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
คณะสหเวชศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,"Faculty of Allied Health Sciences, Chulalongkorn University",0-2218-1102,154 อาคารบรมราชชนนีศรีศตพรรษ ชั้น 4 ถนนพระราม 1 ซอยจุฬาฯ 12 เขตปทุมวัน กทม. 10330,https://www.ahs.chula.ac.th/ahs-chula/,เขต 13,ภาครัฐ,กรุงเทพมหานคร,ปทุมวัน,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
สถาบันบำราศนราดูร,Bamrasnaradura Infectious Diseases Institute,0-2590-3565,กลุ่มงานเอชไอวีขั้นสูงและเชื้อไวรัสอุบัติใหม่ ตึก 8/5 สถาบันบำราศนราดูร ต.ตลาดขวัญ อ.เมือง จ.นนทบุรี 11000,http://bamras.ddc.moph.go.th/th/index.php?menu=1,เขต 4,ภาครัฐ,นนทบุรี,เมืองนนทบุรี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,
คณะเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล,"Faculty of Tropical Medicine, Mahidol University",0-2306-9100 ต่อ 3082,"ห้องปฏิบัติการอ้างอิงด้านโรคเขตร้อน คณะเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล
  ชั้น 8 อาคารราชนครินทร์ 420/6 ถนนราชวิถี เขตราชเทวี กรุงเทพฯ 10400",https://www.tm.mahidol.ac.th/th/index-th.php,เขต 13,ภาครัฐ,กรุงเทพมหานคร,ราชเทวี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
สถาบันวิจัยวิทยาศาสตร์การแพทย์ทหาร (ฝ่ายไทย),Armed Forces Research Institute of Medical Sciences (Thai),0-2354-7890,315/6 ถนน ราชวิถี แขวง ทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,https://www.afrims.go.th/index.php,เขต 13,ภาครัฐ,กรุงเทพมหานคร,ราชเทวี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
สถาบันวิจัยวิทยาศาสตร์การแพทย์ทหาร (ฝ่ายสหรัฐอเมริกา) แผนกเรโทรไวโรโลยี,"Armed Forces Research Institute of Medical Sciences (USA), Department of Retrovirology",0-2696-2700 ต่อ 4925,315/6 (HVRC) ถนนราชวิถี แขวงทุ่งพญาไท เขตราชเทวี กทม. 10400,https://www.afrims.go.th/index.php,เขต 13,ภาครัฐ,กรุงเทพมหานคร,ราชเทวี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
คณะแพทยศาสตร์ วชิรพยาบาล,"Faculty of Medicine, Vajira Hospital",0-2244-3000 ต่อ 5750,"งานชีวโมเลกุล ฝ่ายชันสูตรโรคกลางและธนาคารเลือด คณะแพทยศาสตร์วชิรพยาบาล
  681 ถ.สามเสน แขวงวชิระ เขตดุสิต กรุงเทพฯ 10300",,เขต 13,ภาครัฐ,กรุงเทพมหานคร,ดุสิต,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
คณะเทคนิคการแพทย์ มหาวิทยาลัยมหิดล,"Faculty of Medical Technology, Mahidol University",0-2441-4371-5 ,เลขที่ 999 ถ.พุทธมณฑลสาย 4 ต.ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,https://mt.mahidol.ac.th/,เขต 5,ภาครัฐ,นครปฐม,พุทธมณฑล,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
สถาบันป้องกันควบคุมโรคเขตเมือง,Institute for Urban Disease Control and Prevention,0-2972-9606,24/56 ม.3 ถนนพหลโยธิน แขวงอนุสารีย์ เขตบางเขน กรุงเทพฯ 10220,https://ddc.moph.go.th/viralpneumonia/index.php,เขต 13,ภาครัฐ,กรุงเทพมหานคร,บางเขน,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลภูมิพลอดุลยเดช,Bhumibol Adulyadej Hospital,0-2534-7647,ห้องปฏิบัติการจุลชีววิทยา อาคาร14 รพ.ภูมิพลอดุลยเดช ถนนพหลโยธิน แขวงคลองถนน เขตสายไหม กทม.10220,http://www.bhumibolhospital.rtaf.mi.th/,เขต 13,ภาครัฐ,กรุงเทพมหานคร,สายไหม,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลพระมงกุฎเกล้า,Pramongkutklao Hospital,0-2354-7711 ต่อ 99358,ห้องปฎิบัติการอณูพันธุศาสตร์ กองพยาธิวิทยา อาคารเฉลิมพระเกียรติ ชั้น2,โรงพยาบาลพระมงกุฏเกล้า (pmk.ac.th),เขต 13,ภาครัฐ,กรุงเทพมหานคร,ราชเทวี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
สถาบันสุขภาพเด็กแห่งชาติมหาราชินี,Queen Sirikit National Institute of Child Health Digital Repository,0-2644-6824,420/8 งานภูมิคุ้มกันวิทยา สถาบันสุขภาพเด็กแห่งชาติมหาราชินี ชั้น 5 ห้อง 505 ตึกมหิตลาธิเบศร ถ.ราชวิถี พญาไท ราชเทวี กทม. 10400,http://www.childrenhospital.go.th/html/2014/th,เขต 13,ภาครัฐ,กรุงเทพมหานคร,ราชเทวี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
บริษัท ไบโอ โมเลกุลาร์ แลบอราทอรีส์ (ในนามกลุ่มโรงพยาบาลกรุงเทพ สมิติเวช บีเอ็นเอช พญาไท และเปาโล เมโมเรียล),"Bio-Molecular Laboratory (for the groups of –Bangkok Hospital, Samitivej Hospital, BNH Hospital, Prayathai Hospital, and Paolo Hospital)",0-2762-4111,เลขที่ 2301/2 อาคารศูนย์ทันตกรรม (ชั้น 4) ถนนเพชรบุรีตัดใหม่ ซอย 47 (ศูนย์วิจัย) แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ 10310,,เขต 13,เอกชน,กรุงเทพมหานคร,ห้วยขวาง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
คลินิกเทคนิคการแพทย์ รามคำแหง,"Medical Technic Clinic, Ramkamhang",0-2743-9999,92/2 ซอยรามคำแหง32 แขวงหัวหมาก เขตบางกะปิ กรุงเทพ 10240,https://www.ram-hosp.co.th/,เขต 13,เอกชน,กรุงเทพมหานคร,บางกะปิ,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
หวนจียีนเทคโนโลยี คลินิกเทคนิคการแพทย์,"HUANJI GENE TECHNOLOGY, Thailand",0-2246-3605,เลขที่ 296 อาคาร KSP ชั้น 7 ถนนพระราม9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพ 10310,http://www.prolab.co.th/,เขต 13,เอกชน,กรุงเทพมหานคร,ห้วยขวาง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
บริษัท โปรเฟสชั่นแนล ลาโบราทอรี่ แมเนจเมนท์ จำกัด,"Professional Laboratory Management Corp Co., Ltd",0-2770-8700 ต่อ 310,2 ซอยโพธิ์แก้ว 3 แยก 2 ถนนโพธิ์แก้ว คลองจั่น บางกะปิ กรุงเทพ 10240,http://www.prolab.co.th/,เขต 13,เอกชน,กรุงเทพมหานคร,บางกะปิ,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลบางปะกอก 9 อินเตอร์เนชั่นแนล,Bangpakok 9 International Hospital,"0-2109-9111 ต่อ 10525, 10526",โรงพยาบาลบางปะกอก 9 อินเตอร์เนชั่นแนล แผนกห้องปฏิบัติการ ชั้น 5 เลขที่ 362 ถนนพระรามที่ 2 แขวงบางมด เขตจอมทอง กรุงเทพฯ 10150,https://www.bangpakokhospital.com/,เขต 13,เอกชน,กรุงเทพมหานคร,จอมทอง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลเวชธานี,Vejthani Hospital,0-2734-0000,1 ซอย ลาดพร้าว 111 แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,https://www.vejthani.com/th/,เขต 13,เอกชน,กรุงเทพมหานคร,บางกะปิ,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
บริษัท พีซีที ลาบอราทอรี่ส์ เซอร์วิส จำกัด,"PCT Laboratory Service Co., Ltd.",090-8805517,375 จรัญฯ67 แยก12 แขวงบางพลัด เขตบางพลัด กทม. 10700,https://www.facebook.com/pctlaboratory/,เขต 13,เอกชน,กรุงเทพมหานคร,บางพลัด,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลพระรามเก้า,Praram 9 Hospital,0-2202-9999 ต่อ 11710-11712,โรงพยาบาลพระรามเก้า เลขที่ 99 ถ.พระรามเก้า บางกะปิ ห้วยขวาง กรุงเทพฯ 10310,https://www.praram9.com/,เขต 13,เอกชน,กรุงเทพมหานคร,ห้วยขวาง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลนครธน,Nakornthon Hospital, 02-450-9999,1 ถ. พระราม 2 แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,https://www.nakornthon.com/home,เขต 13,เอกชน,กรุงเทพมหานคร,บางขุนเทียน,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์แห่งเอเชีย จำกัด (โรงพยาบาลลาดพร้าว),Asia Medical Laboratory and Research Center Company Limited (Ladprao General Hospital),0-2932-2929 ต่อ 5081-2,2699 ถนนลาดพร้าว ซอยลาดพร้าว 95-97 แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพฯ 10310,https://ladpraohospital.com/th/,เขต 13,เอกชน,กรุงเทพมหานคร,วังทองหลาง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
